template,tickets,code
The Police Department responded to the complaint and took action to fix the condition.,1212733,A
The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1196877,B
The Police Department responded to the complaint and determined that police action was not necessary.,627809,D
The Police Department responded and upon arrival those responsible for the condition were gone.,566816,C
The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,469471,B
The Police Department issued a summons in response to the complaint.,457975,A
The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,205423,A
Service Request status for this request is available on the Department of Transportationa??s website. Please click the a??Learn Morea?? link below.,189354,G
The Department of Sanitation investigated this complaint and found no condition at the location.,180554,B
HPD conducted an inspection of this complaint. The conditions observed by the inspector did not violate the housing laws enforced by HPD. The complaint has been closed.,171333,B
HPD inspected this condition so the complaint has been closed. Violations were issued. The law provides the property owner time to correct the condition(s).  Violation descriptions and the dates for the property owner to correct any violations are av,150459,A
"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new",136931,E
"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the te",124768,F
"HPD attempted to conduct an inspection in response to this complaint, but was unable to complete the inspection. Please submit a new service request with 311 if the condition still exists. For more information on the reason why HPD was unable to insp",120174,E
"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",112280,E
The Department of Buildings investigated this complaint and determined that no further action was necessary.,108210,D
The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an i,102185,F
The Police Department reviewed your complaint and provided additional information below.,101369,G
The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,101247,F
An HPD Inspector was not able to gain access to inspect this complaint. The Inspector left a card at the time of the inspection and a letter was sent from HPD after the inspection attempt to encourage you to call to schedule an inspection. HPD did no,100963,E
The Police Department responded to the complaint but officers were unable to gain entry into the premises.,99847,E
"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service ",97238,B
The Department of Sanitation investigated this complaint and found no violation at the location.,89052,B
The Department of Sanitation cleaned the location.,89023,A
The Department of Sanitation collected the requested items.,86681,A
"The Department of Housing Preservation and Development contacted a tenant in the building and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",85794,A
The Department of Transportation inspected this complaint and repaired the problem.,83270,A
"The New York City Economic Development Corporation determined that this issue is not within its jurisdiction because the helicopter did not belong to a tour company departing from a NYC heliport.?? Instead, it was most likely a law enforcement or new",78746,G
The Department of Housing Preservation and Development conducted or attempted to conduct an inspection.  More information about inspection results can be found through HPD's website at www.nyc.gov/hpd by using HPDONLINE (enter your address on the hom,78263,E
N/A,70193,X
"The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide",69076,B
"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",62407,A
HPD called the telephone number on file for this complaint.  Someone at that number indicated that the condition was corrected. The complaint has been closed. Please submit a new service request with 311 if the condition still exists.,62262,A
This complaint does not fall under the Police Department's jurisdiction.,61901,G
HPD responded to a complaint of no heat or hot water in the building. An occupant of the building confirmed heat and hot water had been restored when the Inspector attempted to conduct the inspection or contacted you at the phone number associated wi,58665,A
The Department of Environmental Protection (DEP) mailed you the free lead test kit you requested. The kit includes instructions for collecting a water sample and contact information for DEP's Lead Program Unit if you have any questions. Please use th,54528,G
"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New Y",52409,E
The Police Department visited the location and no Encampment was found.,51690,B
"The New York City Police Department responded to the complaint and their investigation determined that no criminal violation existed. The condition was corrected without the need to issue a summons or effect an arrest. If the problem persists, please",51385,A
"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",51161,A
NYC Parks has completed the requested work order and corrected the problem.,50749,A
This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,46908,F
"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information t",46086,B
"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",45625,G
The Department of Environmental Protection investigated this complaint and shut the running hydrant.,44716,A
NYC Parks visited the site and inspected the condition. No work is necessary at this time.,44448,D
The Department of Sanitation investigated this complaint and issued a Notice of Violation.,42967,A
NYC Parks performed the work necessary to correct the condition.,39692,A
The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,38657,A
"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",37269,G
"Service Request status for this request is available on the Department of Transportation's website. Please click the ""Learn More"" link below.",36163,G
The Police Department visited the location and has referred the complaint to the Department of Homeless Services (DHS) for further action. DHS will inspect the condition and update your Service Request with more information.,34427,G
The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,33174,G
The Department of Sanitation removed the items.,32791,A
The Department of Transportation has completed the request or corrected the condition.,32577,A
The Department of Sanitation (DSNY) couldn't find the condition. Please file a new Service Request with more details about the location.,32037,B
"In an effort to more fully and efficiently service each city block, NYC Parks is shifting their street tree planting program to a neighborhood approach.  If the site that you requested meets the criteria for planting, NYC Parks will plant a tree thro",31348,G
The owner claimed the vehicle.??Your request is now closed and no further action will be taken.,31248,D
"The New York City Police Department responded to the complaint and observed no criminal violation upon their arrival. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding offi",30660,B
The New York City Police Department responded to the complaint and their investigation determined that a violation of law occurred. Police issued a summons in response to the complaint. Thank you for attention to this matter. We count on New Yorkers ,29302,A
"The New York City Police Department responded to the complaint and their investigation determined that police action was not necessary. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information ",28980,D
The Department of Sanitation does NOT have jurisdiction over vehicles (abandoned or otherwise) that have license plates affixed to them. Your request will be referred to the NYPD for further action.,28929,G
The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,28870,B
The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work.,27526,B
"The NYC Health Department has responded to your service request. For inspection results, please call (212) 676-1600 or email infobfscs@health.nyc.gov to request an inspection report. This service request has been closed.",27413,G
NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks,25642,G
The Department of Transportation inspected and has requested the Department of Environmental Protection address the issue. The condition will be re-inspected in 60 days.,25262,G
A hearing was scheduled at the OATH/Taxi and Limousine Tribunal.,24836,A
The City has removed the graffiti from this property.,24654,A
The Department of Environmental Protection investigated this complaint and found it to be a temporary condition.,24262,A
The Department of Housing Preservation and Development inspected the following conditions. Violations were previously issued for these conditions. Information about specific violations is available at www.nyc.gov/hpd.,24011,F
The vehicle you reported exceeds the monetary value eligible for collection as junk. The Department of Sanitation has forwarded the request to the NYPD for further action.,23713,G
The Taxi and Limousine Commission (TLC) reviewed your complaint. The driver or owner pled guilty to a violation and paid a fine. TLC has sent you a written confirmation of this outcome.,23442,G
The NYC Health Department has responded to your service request.  Restaurant inspection information can be found online at www.nyc.gov/health/abceats. This service request has been closed.,22701,G
"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",21029,F
This SR was administratively closed. The issue you reported was addressed.,20800,A
"Under NYC Parksa?? Tree Risk Management Program, work is prioritized to address the conditions with the highest risk first.  NYC Parks determined that the issue will be addressed in the next pruning cycle through the routine block pruning program.  F",19978,G
The Department of Environmental Protection researched this complaint and determined that it could be closed.,19735,D
The Department of Sanitation will address the situation at the location by providing educational outreach about proper sanitation procedures.,19641,A
See notes for information.,19333,G
"The Department of Sanitation has investigated the complaint and addressed the issue. If the problem persists, call 311 to enter a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",18431,A
"The Department of Homeless Services (DHS) visited the location but could not find the person that you reported. If they are still there, please submit a new service request with more details. Include the specific location and a detailed description o",18388,B
The Department of Homeless Services (DHS) visited the location and is coordinating with their agency partners to address the condition. No further information will be available with 311.,18229,G
NYC Parks visited the location but could not find the tree condition you reported.,15124,B
The Department of Sanitation investigated and found this complaint to be out of jurisdiction. The Department of Sanitation reviewed this and found it not to be meeting the criteria for a complaint or service request.,15104,G
DSNY already has a request to investigate this reportedly abandoned vehicle and cannot open multiple service requests for the same vehicle at once. Your request is being closed while we action the prior report.,14856,F
The Department of Housing Preservation and Development was unable to access the rooms where the following  conditions were reported. No violations were issued. The complaint has been closed.,14760,E
The Department of Sanitation investigated this complaint and no DSNY related conditions/violations were observed. Location will be referred to the appropriate agency for further action.,14570,G
The Department of Environmental Protection investigated this complaint and found there was no sewer back up in the city system at the time of the inspection.,14395,B
The Department of Consumer and Worker Protection (DCWP) closed your complaint. It was closed because you didn't submit a completed complaint form or requested documents within 30 days of DCWP's request.,13660,G
"The Department of Transportation will inspect the complaint location and notify the property owner within 180 days if a defective sidewalk condition exists. The property owner is responsible for maintaining, repairing and installing sidewalks adjoini",12920,G
Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,12849,X
"NYC Parks inspected and determined this site does not rate high enough to be repaired by NYC Parks at this time.   We understand conditions may become worse over time. In three years, you may submit a service request via 311, the Parks website, or NY",12721,D
"The Department of Transportation inspected the location for the condition you reported and could not find the problem. It you would like to pursue the complaint, please call 311 or (212) 639-9675 with additional information.",12318,B
The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,11649,F
A sidewalk dismissal inspection (work done by owner) has been scheduled. Department of Transportation is in direct contact with the responsible party.,11501,G
The Department of Sanitation found an open service request already exists for the same location.,11468,F
"The owner or manager of the property was sent an advisory to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint.",11465,G
The Department of Homeless Services did not have enough information to act on your request.,10937,X
"Based on the information provided by the customer, the Taxi and Limousine Commission has determined that a hearing is not necessary or not possible.",10677,D
"Upon inspection the reported condition was not found, and, therefore, no action was taken.",10524,B
"The Department of Transportation inspected the condition and issued a Corrective Action Repair (CAR) to the contractor or utility company. The responsible party has a maximum of 30 days to correct the condition. If the condition still exists, a summo",10135,A
The Department of Environmental Protection resolved this complaint by speaking to the complainant on the phone.,10054,A
"The Service Request submitted did not have sufficient location or complaint information for NYC Parks to respond.  Please submit a new Service Request with adequate site details, including a full street address and descriptive location information.",9839,X
"The Department of Housing Preservation and Development was not able to gain access to your apartment to inspect for a lack of heat or hot water. However, HPD was able to verify that heat or hot water was inadequate by inspecting another apartment and",9797,E
The Department of Transportation will inspect the condition to determine if the location can be added to a curb contract (3-5 years). The property owner will be notified if there are sidewalk defects. Property owners are responsible for repairing and,9734,G
The Department of Transportation inspected this complaint and did not find the reported problem.,9675,B
The Department of Environmental Protection will keep the location under observation for idling commercial vehicles.??Summonses will be issued when warranted.,9558,A
The Department of Sanitation has removed illegal postings from the location. The Department will issue a Notice of Violation to the responsible party once it is identified.,9398,A
The mobile outreach response team went to the location provided but could not find the individual that you reported.,9353,B
The Department of Buildings has made a second attempt to conduct an inspection of this premises and was denied access. No further attempts will be made.,9068,E
"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New Yor",9053,F
The Police Department responded to the complaint and a report was prepared.,8936,A
NYC Parks has reviewed the reported condition and corrected the problem.,8889,A
"NYC Parks inspected the requested repair site. This site meets the criteria for repair under the Trees & Sidewalks Program. The timeframe for repair work depends on available funding for the program, the severity of damage, and the other sidewalk req",8593,G
No action was taken because NYC Parks determined that the issue is out of its jurisdiction. The condition may be on private property or in an area serviced by another organization.,8323,G
"The Department of Health and Mental Hygiene tried to inspect the property you reported but could not access the site. If you have information that will help the inspector access the site, please go online to nyc.gov/311 or call 311 and refile your co",8237,E
"The Department of Environmental Protection has investigated this complaint. Upon investigation, there was no indication of a city sewer issue and there is a suspected sewer backup due to an internal plumbing issue.",8102,D
The Department of Homeless Services (DHS) outreach team attempted to engage the individuals at the reported location. DHS is coordinating with their agency partners. They will determine the best course of action. Your service request has been closed.,7934,G
"The Department of Environmental Protection inspected your complaint and cleaned the catch basin or inlet. If the condition returns, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",7928,A
The Department of Environmental Protection (DEP) sent the dog owner a warning letter. It includes recommendations on how to reduce their dog's barking. DEP also sent you a letter to acknowledge your complaint.   DEP expects it may take about six week,7764,G
The Department of Consumer and Worker Protection (DCWP) finished reviewing your complaint. DCWP will contact you directly to report its status.,7763,G
"The New York City Police Department responded to the complaint but officers were unable to gain entry into the premises. If the problem persists, please contact 311 to create another complaint and ensure that contact information (e.g., buzzer number,",7282,E
The Department of Sanitation collected the E-waste.,7022,A
The Department of Environmental Protection investigated this complaint and repaired or replaced the hydrant.,6900,A
"A letter was sent to the owner or manager of the property you reported instructing them to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint.",6715,G
"The Department of Homeless Services (DHS) visited the location but could not find the condition you reported. If it still exists, please submit a new Service Request.",6581,B
The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,6506,X
"Based on the information you provided, the Department of Homeless Services has referred this request to the New York City Police Department.",6138,G
The NYC Health Department (DOHMH) found a service request already exists for the same location. This request has been closed. DOHMH is addressing the original request.,5988,F
"The Department of Transportation inspected the condition and issued a summons to the responsible party. A re-inspection will be done within 10 days. If the condition still exists, a second summons will be issued. In some cases, the Department of Tran",5814,A
"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water. Heat was not required at the time of the inspection. No violations were issued. If the condition still exists, please file a new complaint.",5765,B
"The Department of Transportation inspected the location more than six months ago and has notified the property owner of any defective sidewalk conditions. The property owner is responsible for maintaining, repairing and installing sidewalks adjoining",5719,G
"A representative from the Taxi and Limousine Commission (TLC) called and left a message for you and emailed you but has not been able to get in touch with you to confirm the details of your complaint. As a result, the TLC has closed your complaint. I",5703,G
NYC Parks inspected the condition and determined that no work was needed.,5655,D
"The location was inspected and is suitable for tree planting. Barring any unforeseen issues such as underground utilities and based on available funding, the requested tree will be placed on an upcoming contract. Please note that this process can tak",5552,G
"The City inspected the property for cleaning, but no graffiti was found.",5430,B
The Department of Housing Preservation and Development contacted an occupant of the apartment or building and verified that the complaint was addressed.  The complaint has been closed.,5427,A
NYC Parks determined that the requested location cannot receive a new tree because of conflicts with surrounding infrastructure.,5363,D
The person has refused services from the mobile outreach response team.,5276,D
The vehicle you reported has been removed by the Department of Sanitation.,5218,A
NYC Parks couldn't respond to your complaint because they had to devote resources to other critical services at the time. The agency will use your complaint for future planning.,5217,G
The Department of Environmental Protection investigated this complaint and opened fire hydrants to flush water mains in the area.,5207,A
"The Department of Buildings attempted to investigate this complaint but could not locate the premises. If the problem still exists, please call 311 and file a new complaint with additional information about how to locate the building. If you are outs",5138,E
The location does not meet the criteria for Litter Basket placement.,5124,D
The Department of Health and Mental Hygiene has determined that the reported incident is isolated.  The establishment will be inspected according to its normal schedule for sanitary inspections.,5118,D
"The Department of Consumer and Worker Protection (DCWP) provided information about your complaint. You can find it in the Notes to Customer section of your NYC311 Service Request.  If you didn't get the information, call DCWP Consumer Services at (21",5049,G
The Department of Environmental Protection investigated this complaint and determined it is an inside condition within the complainant's property.,5031,D
"The Department of Environmental Protection has investigated this complaint and a leak, not a city issue, has been resolved by homeowner.",4979,D
The Department of Transportation has determined that this issue is not within its jurisdiction.,4870,G
The Department of Environmental Protection investigated this complaint and determined that no further action is required.,4767,D
"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer.""",4618,G
An inspection of the property was conducted and no violations were found.,4585,B
The NYC Health Department has investigated your complaint. You can get the status by calling 311 or (646) 632-6101 on weekdays between 9 AM and 5 PM. This service request has been closed.,4583,G
"The status of this Service Request is currently not available online. Please call 311 for further assistance. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",4580,G
The Department of Sanitation (DSNY) inspected but didn't see a violation of their rules. Your Service Request has been closed.,4447,B
The Department of Environmental Protection has investigated this complaint and found that debris was obstructing the catch basin.,4246,A
The Department of Transportation has approved the sidewalk re-inspection request. The property owner will be notified by mail within 120 days with the date of re-inspection.,4194,G
The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to,4101,X
The Department of Transportation inspected the condition you reported and issued a notice to the responsible party to correct the condition.,3961,A
"HPD responded to a complaint of no heat or hot water. Heat was not required at the time of the inspection because the outside temperature was above 55???° F; by law, violations can only be issued if the outside temperature is below 55 degrees. No vio",3954,B
The Department of Education completed the work and corrected the condition.,3915,A
The Department of Housing Preservation and Development was unable to access the rooms where the following conditions were reported. No violations were issued. The complaint has been closed.,3884,E
The Department of Environmental Protection determined that an inspection is warranted to investigate this complaint.,3772,G
